Biotype	DensityShuf	DensityWt	GC	LocID	Location	NbLocation	NbRepro	NbTrpG4Shuf	NbTrpG4Wt	NbpG4rLocShuf	NbpG4rLocWt	NbpG4rShuf	NbpG4rWt	PercentShuf	PercentWt	Sp	Tot	Type	index	nbTr	nuclA	nuclC	nuclG	nuclN	nuclT	meanShuffle	stdShuffle	ShortName
IG_V_pseudogene	0.0	0.0	36.5	acceptor-IG_V_pseudogene-Pseudogene	acceptor	14.0	3	0	0	0.0	0.0	0	0	0.0	0.0	danio_rerio	1200	Point	11.0	14	305.0	214	224	0.0	457.0	0.0	0.0	Drer
IG_V_pseudogene	0.03	0.0	51.80693069306931	acceptor-IG_V_pseudogene-Pseudogene	acceptor	100.0	3	3	0	3.0	0.0	3	0	3.0	0.0	homo_sapiens	8080	Point	15.0	100	1464.0	2061	2125	0.0	2430.0	0.04000000000000001	0.013228756555322952	Hsap
IG_V_pseudogene	0.0	0.0	44.40265486725664	acceptor-IG_V_pseudogene-Pseudogene	acceptor	113.0	3	0	0	0.0	0.0	0	0	0.0	0.0	mus_musculus	9040	Point	17.0	112	2134.0	2173	1841	0.0	2892.0	0.0	0.0	Mmus
Pseudogene	0.014285714285714284	0.0	50.17953321364453	acceptor-Pseudogene	acceptor	70.0	3	1	0	1.0	0.0	1	0	1.4285714285714286	0.0	anolis_carolinensis	5570	Point		58	1546.0	1372	1423		1229.0	0.004285714285714285	0.006900655593423541	Acar
Pseudogene	0.0	0.0	46.41802067946824	acceptor-Pseudogene	acceptor	102.0	3	0	0	0.0	0.0	0	0	0.0	0.0	aspergillus_nidulans	8124	Point		35	2150.0	2018	1753		2203.0	0.0	0.0	Anid
Pseudogene	0.0	0.0	34.49641496506609	acceptor-Pseudogene	acceptor	5699.0	3	0	0	0.0	0.0	0	0	0.0	0.0	caenorhabditis_elegans	458294	Point		1420	147615.0	84830	73265		152584.0	0.0	0.0	Cele
Pseudogene	0.0	0.0	29.72826086956521	acceptor-Pseudogene	acceptor	46.0	3	0	0	0.0	0.0	0	0	0.0	0.0	campylobacter_jejuni_subsp_jejuni_nctc_11168_atcc_700819	3680	Point		17	1284.0	444	650		1302.0	0.0	0.0	Cjej
Pseudogene	0.0	0.0	40.13411014620205	acceptor-Pseudogene	acceptor	1177.0	3	0	0	0.0	0.0	0	0	0.0	0.0	danio_rerio	100067	Point		223	25916.0	19541	20620		33990.0	0.0005927180355630821	0.0008032881439885806	Drer
Pseudogene	0.0	0.0	38.735074137252326	acceptor-Pseudogene	acceptor	286.0	3	0	0	0.0	0.0	0	0	0.0	0.0	drosophila_melanogaster	22863	Point		155	6844.0	4578	4278		7163.0	0.0	0.0	Dmel
Pseudogene	0.0	0.0	46.43867924528302	acceptor-Pseudogene	acceptor	53.0	3	0	0	0.0	0.0	0	0	0.0	0.0	escherichia_coli_str_k_12_substr_mg1655	4240	Point		50	1169.0	921	1048		1102.0	0.0	0.0	Ecol
Pseudogene	0.0	0.0	32.50945042163419	acceptor-Pseudogene	acceptor	129.0	3	0	0	0.0	0.0	0	0	0.0	0.0	francisella_tularensis_subsp_tularensis_schu_s4	10317	Point		108	3566.0	1443	1911		3397.0	0.0	0.0	Ftul
Pseudogene	0.014750150511739916	0.011739915713425648	56.83763579284956	acceptor-Pseudogene	acceptor	3322.0	3	32	22	49.0	39.0	49	39	1.4750150511739917	1.1739915713425646	gallus_gallus	265662	Point		261	53979.0	80142	70854		60687.0	0.015442504515352198	0.0010718202041522448	Ggal
Pseudogene	0.0	0.04444444444444445	57.36111111111111	acceptor-Pseudogene	acceptor	45.0	3	0	2	0.0	2.0	0	2	0.0	4.4444444444444455	gasterosteus_aculeatus	3600	Point		31	807.0	1066	999		728.0	0.004444444444444445	0.009369711585684089	Gacu
Pseudogene	0.002221563981042654	0.0014069905213270142	45.53247117787407	acceptor-Pseudogene	acceptor	13504.0	3	30	19	30.0	19.0	30	19	0.2221563981042654	0.14069905213270142	homo_sapiens	1132897	Point		3901	290696.0	271834	244002		326365.0	0.0019589836760078353	0.0007023288698356371	Hsap
Pseudogene	0.023809523809523808	0.023809523809523808	61.81547619047619	acceptor-Pseudogene	acceptor	42.0	3	1	1	1.0	1.0	1	1	2.380952380952381	2.380952380952381	leishmania_major	3360	Point		34	672.0	972	1105		611.0	0.04285714285714286	0.015058465048420854	Lmaj
Pseudogene	0.002242152466367713	0.004484304932735426	45.449552911356754	acceptor-Pseudogene	acceptor	892.0	3	2	4	2.0	4.0	2	4	0.2242152466367713	0.4484304932735426	monodelphis_domestica	71015	Point		581	21417.0	15560	16716		17322.0	0.003139013452914798	0.0010301979635343962	Mdom
Pseudogene	0.0026162790697674423	0.0026162790697674423	42.34897644570322	acceptor-Pseudogene	acceptor	6880.0	3	18	18	18.0	18.0	18	18	0.2616279069767442	0.2616279069767442	mus_musculus	557860	Point		2758	153546.0	124538	111710		168066.0	0.004391285759434082	0.0056460342272345344	Mmus
Pseudogene	0.0	0.0	45.26027397260274	acceptor-Pseudogene	acceptor	23.0	3	0	0	0.0	0.0	0	0	0.0	0.0	neisseria_meningitidis_z2491	1825	Point		22	584.0	433	393		415.0	0.0	0.0	Nmen
Pseudogene	0.0	0.0	44.26673895364598	acceptor-Pseudogene	acceptor	47.0	3	0	0	0.0	0.0	0	0	0.0	0.0	ornithorhynchus_anatinus	3689	Point		18	972.0	921	712		1084.0	0.0	0.0	Oana
Pseudogene	0.02843601895734597	0.009478672985781993	53.089342073318775	acceptor-Pseudogene	acceptor	211.0	3	6	2	6.0	2.0	6	2	2.8436018957345968	0.9478672985781992	pan_troglodytes	16476	Point		211	4059.0	4338	4409		3670.0	0.024644549763033173	0.004355149684704649	Ptro
Pseudogene	0.010265183917878527	0.003421727972626176	50.9013272291066	acceptor-Pseudogene	acceptor	1169.0	3	12	4	12.0	4.0	12	4	1.0265183917878529	0.3421727972626176	pongo_abelii	90866	Point		678	22178.0	23816	22436		22431.0	0.009751924721984603	0.001004095629407414	Pabe
Pseudogene	0.0	0.0	36.30434782608696	acceptor-Pseudogene	acceptor	23.0	3	0	0	0.0	0.0	0	0	0.0	0.0	schizosaccharomyces_pombe	1840	Point		10	580.0	334	334		592.0	0.0	0.0	Spom
polymorphic_pseudogene	0.0	0.0	44.0625	acceptor-polymorphic_pseudogene-Pseudogene	acceptor	87.0	3	0	0	0.0	0.0	0	0	0.0	0.0	danio_rerio	11520	Point	20.0	10	2832.0	2764	2312	0.0	3612.0	0.0	0.0	Drer
polymorphic_pseudogene	0.0	0.0	50.2121009153829	acceptor-polymorphic_pseudogene-Pseudogene	acceptor	279.0	3	0	0	0.0	0.0	0	0	0.0	0.0	homo_sapiens	22395	Point	23.0	45	5044.0	6211	5034	0.0	6106.0	0.0	0.0	Hsap
polymorphic_pseudogene	0.014705882352941175	0.007352941176470587	47.31038970428747	acceptor-polymorphic_pseudogene-Pseudogene	acceptor	272.0	3	4	2	4.0	2.0	4	2	1.4705882352941175	0.7352941176470588	mus_musculus	27662	Point	26.0	65	6602.0	7253	5834	0.0	7973.0	0.005718954248366013	0.008036076622919119	Mmus
processed_pseudogene	0.0	0.0	43.02083333333334	acceptor-processed_pseudogene-Pseudogene	acceptor	11.0	3	0	0	0.0	0.0	0	0	0.0	0.0	danio_rerio	960	Point	21.0	5	219.0	207	206	0.0	328.0	0.0	0.0	Drer
processed_pseudogene	0.005558987029030266	0.0030883261272390363	41.23526317418077	acceptor-processed_pseudogene-Pseudogene	acceptor	1619.0	3	9	5	9.0	5.0	9	5	0.5558987029030266	0.3088326127239036	homo_sapiens	129268	Point	24.0	1293	45669.0	26375	26929	0.0	30295.0	0.00500995127307666	0.0006510763146321554	Hsap
processed_pseudogene	0.009149130832570906	0.007319304666056725	41.591866642242174	acceptor-processed_pseudogene-Pseudogene	acceptor	1093.0	3	10	8	10.0	8.0	10	8	0.9149130832570906	0.7319304666056725	mus_musculus	87344	Point	27.0	954	29557.0	17801	18527	0.0	21459.0	0.009047473823320117	0.0010673985971332719	Mmus
pseudogene	0.014285714285714284	0.0	50.17953321364453	acceptor-pseudogene-Pseudogene	acceptor	70.0	3	1	0	1.0	0.0	1	0	1.4285714285714286	0.0	anolis_carolinensis	5570	Point	4.0	58	1546.0	1372	1423	0.0	1229.0	0.004285714285714285	0.006900655593423541	Acar
pseudogene	0.0	0.0	46.41802067946824	acceptor-pseudogene-Pseudogene	acceptor	102.0	3	0	0	0.0	0.0	0	0	0.0	0.0	aspergillus_nidulans	8124	Point	3.0	35	2150.0	2018	1753	0.0	2203.0	0.0	0.0	Anid
pseudogene	0.0	0.0	34.49330341552001	acceptor-pseudogene-Pseudogene	acceptor	5697.0	3	0	0	0.0	0.0	0	0	0.0	0.0	caenorhabditis_elegans	458144	Point	7.0	1418	147576.0	84794	73235	0.0	152539.0	0.0	0.0	Cele
pseudogene	0.0	0.0	29.72826086956521	acceptor-pseudogene-Pseudogene	acceptor	46.0	3	0	0	0.0	0.0	0	0	0.0	0.0	campylobacter_jejuni_subsp_jejuni_nctc_11168_atcc_700819	3680	Point	3.0	17	1284.0	444	650	0.0	1302.0	0.0	0.0	Cjej
pseudogene	0.0	0.0	53.35689045936395	acceptor-pseudogene-Pseudogene	acceptor	11.0	3	0	0	0.0	0.0	0	0	0.0	0.0	danio_rerio	566	Point	24.0	11	145.0	140	162	0.0	119.0	0.0	0.0	Drer
pseudogene	0.0	0.0	38.735074137252326	acceptor-pseudogene-Pseudogene	acceptor	286.0	3	0	0	0.0	0.0	0	0	0.0	0.0	drosophila_melanogaster	22863	Point	5.0	155	6844.0	4578	4278	0.0	7163.0	0.0	0.0	Dmel
pseudogene	0.0	0.0	46.43867924528302	acceptor-pseudogene-Pseudogene	acceptor	53.0	3	0	0	0.0	0.0	0	0	0.0	0.0	escherichia_coli_str_k_12_substr_mg1655	4240	Point	2.0	50	1169.0	921	1048	0.0	1102.0	0.0	0.0	Ecol
pseudogene	0.0	0.0	32.50945042163419	acceptor-pseudogene-Pseudogene	acceptor	129.0	3	0	0	0.0	0.0	0	0	0.0	0.0	francisella_tularensis_subsp_tularensis_schu_s4	10317	Point	3.0	108	3566.0	1443	1911	0.0	3397.0	0.0	0.0	Ftul
pseudogene	0.014750150511739916	0.011739915713425648	56.83763579284956	acceptor-pseudogene-Pseudogene	acceptor	3322.0	3	32	22	49.0	39.0	49	39	1.4750150511739917	1.1739915713425646	gallus_gallus	265662	Point	6.0	261	53979.0	80142	70854	0.0	60687.0	0.015442504515352198	0.0010718202041522448	Ggal
