Biotype	Class	DensityShuf	DensityWt	GC	NbRepro	NbTrpG4Shuf	NbTrpG4Wt	NbpG4rShuf	NbpG4rWt	PercentShuf	PercentWt	Sp	Tot	nbTr	nuclA	nuclC	nuclG	nuclT	meanShuffle	stdShuffle	ShortName
Coding	Coding	0.10370815263315	0.037425115950223686	42.60353455420374	3	89	35	230	83	6.582840236686391	2.5887573964497044	anaplasma_phagocytophilum_str_hz	2217762	1352	630196.0	381055	563790	642721.0	0.10837258839249213	0.005940620236713909	Apha
Coding	Coding	0.009822832552833371	0.07258005839192101	39.20966911062529	3	1603	6320	4546	33590	17.113269990391807	67.470908508594	anolis_carolinensis	462799297	9367	134298946.0	89354193	92107880	139050482.0	0.010260170562071338	0.00031293015941730526	Acar
Coding	Coding	0.019552251981312968	0.08003915137670138	33.725326580376105	3	812	2049	2970	12158	6.1121565675573954	15.423409860745206	apis_mellifera	151900661	13285	50461096.0	24781885	26447109	48814236.0	0.02057094928718021	0.0007468419136588671	Amel
Coding	Coding	0.052132020431842105	0.05376114607033717	43.50834161200679	3	66	73	160	165	4.249839021249195	4.700579523502898	aquifex_aeolicus_vf5	3069131	1553	1000648.0	588799	746529	733155.0	0.04980813168398067	0.003775456962005756	Aaeo
Coding	Coding	0.023147953702139425	0.01371114652946962	39.682907851746975	3	1830	1518	6542	3875	3.8035458192172587	3.155072433645792	arabidopsis_thaliana	282616774	48113	81193365.0	52759049	59391505	89272855.0	0.023727581247581696	0.0005524759835801055	Atha
Coding	Coding	0.30441502217590505	0.21402313028078165	49.26767023985656	3	433	367	1273	895	17.98919817199834	15.2471956792688	archaeoglobus_fulgidus_dsm_4304	4181791	2407	1145045.0	860273	1199998	976475.0	0.2995863692058964	0.007148323888056434	Aful
Coding	Coding	0.0558148639543458	0.08467546805698202	51.94946865359539	3	833	1370	2313	3509	7.907727359027909	13.00550598063414	aspergillus_nidulans	41440574	10534	10107396.0	11026393	10501765	9805020.0	0.05838151116454143	0.001995426685975015	Anid
Coding	Coding	0.0332535291763489	0.004528690743860746	44.05518119097579	3	116	15	257	35	2.771804062126643	0.35842293906810035	bacillus_subtilis_subsp_subtilis_str_168	7728503	4185	2331967.0	1550164	1854642	1991730.0	0.032664076623064156	0.0008982884237814086	Bsub
Coding	Coding	0.0029082412494136783	0.007062871605718931	28.81132286338786	3	4	8	7	17	0.2987303958177745	0.5974607916355489	borrelia_burgdorferi_b31	2406953	1339	931537.0	292276	401199	781941.0	0.002616771173074901	0.0008084460743611353	Bbur
Coding	Coding	0.12405433150713678	0.020556553491816613	58.13597105494266	3	294	46	694	115	9.52998379254457	1.4910858995137763	brucella_abortus_bv_1_str_9_941	5594323	3085	1144259.0	1605358	1646956	1197750.0	0.1275484790105021	0.005570510367291556	Babo
Coding	Coding	0.01308456553478839	0.011600748824657748	38.18094944485226	3	1056	1623	3201	2838	3.1484794275491947	4.8389982110912335	caenorhabditis_elegans	244639380	33540	76841882.0	46907460	46498178	74391860.0	0.013646396282575194	0.000492948759987861	Cele
Coding	Coding	0.0018822377925115168	0.0028233566887672754	30.73954691399271	3	2	4	6	9	0.12315270935960593	0.24630541871921185	campylobacter_jejuni_subsp_jejuni_nctc_11168_atcc_700819	3187695	1624	1158620.0	405607	574276	1049192.0	0.0026033786083853195	0.0007256529463341877	Cjej
Coding	Coding	0.35162450521408906	0.4932789487431936	49.55032248990335	3	397	528	1050	1473	24.781523096129842	32.958801498127336	candidatus_korarchaeum_cryptofilum_opf8	2986140	1602	806253.0	607433	872209	700245.0	0.3585817012936999	0.008484359906021983	Ckor
Coding	Coding	0.36000214513038725	0.20938114784490086	57.7146817496361	3	484	311	1403	816	23.996033713435803	15.418939018344073	cenarchaeum_symbiosum_a	3897199	2017	917902.0	1035939	1213317	729501.0	0.3631865219911806	0.00758452025105214	Csym
Coding	Coding	0.018470546404939024	0.011800626869822157	41.61429497154766	3	12	10	36	23	1.342281879194631	1.1185682326621924	chlamydia_trachomatis_d_uw_3_cx	1949049	894	554667.0	389529	421554	583299.0	0.017851478864307373	0.0029396444811345237	Ctra
Coding	Coding	0.8934813277637493	0.9742468678234816	64.6181193551908	3	16385	17277	182567	199070	85.20540821632866	89.84399375975039	chlamydomonas_reinhardtii	204332194	19230	35161007.0	62380008	69655613	35662994.0	0.8910265220608444	0.001748772597217791	Crei
Coding	Coding	0.1495560034757226	0.056240358286446406	57.05256944857185	3	517	197	1311	493	13.418115753957956	5.112899039709316	chloroflexus_aurantiacus_j_10_fl	8765947	3853	1767786.0	2438624	2562574	1996963.0	0.15328291499209215	0.0030494488033347388	Caur
Coding	Coding	0.011149338448720457	0.03866794128360248	37.48281546446877	3	5872	18903	18119	62840	12.917418276211007	41.583439658585945	danio_rerio	1625118843	45458	498302133.0	300591994	308548303	516406742.0	0.011503708224861775	0.0002559129435502138	Drer
Coding	Coding	0.0011601877305873116	0.0043761467030924905	26.038013856305252	3	19	98	57	215	0.1449385918071554	0.747577999847433	dictyostelium_discoideum	49129980	13109	19987036.0	6358270	6434201	16350352.0	0.002328191350255496	0.0008134527978406858	Ddis
Coding	Coding	0.020020862701230508	0.07681973509660786	44.15399442109847	3	3458	7778	9404	36083	11.312113579116097	25.444077333246106	drosophila_melanogaster	469710029	30569	135401570.0	105470042	101925698	126768137.0	0.0199946328005549	0.00036291263999326814	Dmel
Coding	Coding	0.00844411543668743	0.001490138018238958	37.815100032137316	3	23	3	51	9	0.7044410413476264	0.09188361408882084	enterococcus_faecalis_v583	6039709	3265	2018503.0	1016288	1267634	1737284.0	0.008177380032759595	0.00030258562037222014	Efae
Coding	Coding	0.09083032044985692	0.019576548316501963	51.85699975900175	3	335	70	747	161	8.091787439613526	1.6908212560386473	escherichia_coli_str_k_12_substr_mg1655	8224126	4140	1977507.0	2017963	2246822	1981834.0	0.09186992429045857	0.0019980908540511394	Ecol
Coding	Coding	0.002869935480661577	0.0	32.81445962782039	3	3	0	9	0	0.1869158878504673	0.0	francisella_tularensis_subsp_tularensis_schu_s4	3135959	1605	1102730.0	446062	582986	1004181.0	0.003283874416550641	0.0006565302550142384	Ftul
Coding	Coding	0.05962769427613743	0.1551407033744727	42.74510180425573	3	13969	22959	72081	187542	49.83766812943737	81.9115915658782	gallus_gallus	1208851036	28029	329348146.0	245631713	271092893	362303982.0	0.05968110780012742	0.00023762177089254997	Ggal
Coding	Coding	0.05813823431844994	0.12854936430729522	47.250756311434536	3	5355	10199	17660	39048	23.164770515205266	44.119046589090274	gasterosteus_aculeatus	303758795	23117	77745739.0	72050754	71477574	79800723.0	0.059771483637849954	0.0012416455687044975	Gacu
Coding	Coding	0.1790727032398833	0.17476940572016514	61.42604616633106	3	519	503	1290	1259	15.122377622377622	14.656177156177154	geobacter_sulfurreducens_pca	7203778	3432	1422819.0	2225682	2199314	1355963.0	0.18232851635862773	0.002876344669123653	Gsul
